ethernetInput ethernetOutput mobileInput mobileOutput wifiInput wifiOutput sumInput sumOutput
1.27510742188 48.904140625 0.502216796875 21.3323339844 0.854892578125 41.9691601562 2.63221679687 112.205634766 
1.27330078125 60.9258691406 0.491923828125 25.2861816406 1.04467773438 59.5929589844 2.80990234375 145.805009766 
1.37893554687 64.3711035156 0.630751953125 25.6030566406 0.998115234375 63.8302734375 3.00780273438 153.804433594 
1.50201171875 69.4266113281 0.59611328125 26.3603320312 1.05379882812 65.6735253906 3.15192382812 161.46046875 
1.629296875 63.3018847656 0.5927734375 24.9748632812 1.14182617188 62.220546875 3.36389648438 150.497294922 
1.55298828125 55.5498730469 0.541728515625 23.9512207031 1.28018554688 58.8087011719 3.37490234375 138.309794922 
1.40795898438 80.5111621094 0.57220703125 27.6107519531 0.977119140625 66.2823828125 2.95728515625 174.404296875 
1.29203125 75.7639453125 0.543076171875 27.2274902344 1.144453125 64.9116601562 2.97956054688 167.903095703 
1.33241210938 85.1777636719 0.521083984375 28.0926269531 1.004765625 66.2789941406 2.85826171875 179.549384766 
1.34342773438 67.9013671875 0.532578125 25.2493164062 1.16125 65.0569433594 3.03725585938 158.207626953 
1.27392578125 67.5347949219 0.487294921875 25.3994335938 1.11861328125 65.8209179687 2.87983398437 158.755146484 
1.50833007812 68.7366113281 0.472763671875 25.4370507813 1.35993164062 66.310390625 3.34102539063 160.484052734 
1.9480859375 83.0330957031 0.451455078125 14.8859375 1.21588867187 53.8572558594 3.6154296875 151.776289062 
EthernetDown EthernetDown EthernetDown EthernetDown EthernetDown EthernetDown EthernetDown EthernetDown 
2.11045898438 82.6401367188 0.649345703125 13.5850195312 1.43041992188 57.0103125 4.19022460937 153.23546875 
0.0 0.0 0.578984375 25.1991308594 1.29264648438 66.2844042969 1.87163085938 91.4835351562 
0.0 0.0 0.6258203125 26.3186816406 1.43250976563 66.1755078125 2.05833007813 92.4941894531 
0.0 0.0 0.642265625 26.5542773438 1.5063671875 66.3798535156 2.1486328125 92.9341308594 
