    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
  813.64  35514.58    482.09  19013.72    678.88  32429.27
  949.46  56608.48    354.04  22568.09    873.77  55544.15
  864.76  50038.11    331.10  20831.04    684.75  51176.00
  843.46  41506.03    315.40  17884.37    722.70  45306.79
 1195.70  51918.93    378.92  21608.38   1058.42  55379.88
 1146.43  59695.11    347.13  23866.42    839.94  61945.75
 1261.24  63057.75    459.52  24358.39    937.80  61149.84
 1023.98  69383.59    438.48  26039.31    909.18  66191.77
  951.72  83654.40    434.01  27644.58    754.90  67869.83
 1865.51  74056.55   1072.00  27991.37   1688.37  67873.43
  974.86  87164.79    450.76  28377.59    826.74  67871.11
  977.89  84210.68    466.72  27724.02    806.98  67863.86
  948.22  88820.88    452.94  28511.14    824.36  67876.08
*** ethernet down ***
 1122.84  55747.94    424.26  22880.65   1018.71  58772.27
    0.00      0.00    502.55  23933.50   1071.81  66211.33
    0.00      0.00    491.20  25885.97    967.20  67869.23
    0.00      0.00    585.01  26117.64   1178.79  67874.14
    0.00      0.00    626.59  26645.02   1273.00  67862.40
    0.00      0.00    756.61  27188.48   1466.45  67881.42
    0.00      0.00    626.09  26674.40   1441.92  67866.17
*** wifi down ***
    0.00      0.00    699.41  28836.00   1588.60  67877.59
    0.00      0.00    535.76  21706.67    209.95   8840.24
    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00    681.12  27870.82      0.00      0.00
    0.00      0.00    720.71  24502.42      0.00      0.00
    0.00      0.00    577.43  23639.76      0.32      0.00
    0.00      0.00    665.15  27205.29      0.00      0.00
    0.00      0.00    865.35  27075.84      0.00      0.00
*** wifi up ***
    0.00      0.00    532.38  21784.53      0.00      0.00
    0.00      0.00    541.10  22717.68    540.70  26538.31
    0.00      0.00    514.63  24692.29   1096.58  64681.91
    0.00      0.00    568.85  25771.34   1188.01  67878.66
    0.00      0.00    648.61  25600.70   1312.48  67869.62
    0.00      0.00    572.84  25123.19   1270.34  67864.27
    0.00      0.00    535.55  25565.82   1105.43  67871.11
*** ethernet up ***
    0.00      0.70    607.69  26026.17   1079.83  67888.91
  436.65  27360.85    470.49  25537.13    905.17  67861.40
 1028.60  86190.76    460.73  28363.48    752.69  67869.95
  877.55  83986.49    463.39  28689.04    729.75  67877.30
  934.27  85981.57    451.05  28554.20    788.27  67870.17
  931.82  89753.65    465.74  28480.09    772.01  67830.30
  862.29  79478.35    396.97  28206.76    699.17  67902.96
 1288.44  76132.68    549.66  27110.09   1022.97  67874.61
  890.72  87049.60    459.60  27875.56    729.23  67782.75
 1224.68  79787.82    579.36  27985.99    991.89  67962.67
    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
  986.48  88744.89    479.23  28754.49    759.06  67868.40
  988.88  81558.84    437.55  27667.11    834.65  67877.20
  992.78  89004.37    471.22  28852.54    826.45  67808.74
 1463.57  62263.49    485.08  24877.37   1301.20  67925.03
 1316.67  59663.55    650.49  28116.46   1518.29  65926.18
 1287.37  59710.25    652.59  28441.82   1319.66  60030.74
 1326.76  64545.01    630.56  28502.36   1329.91  63269.95
 1406.00  64733.25    755.99  28704.45   1503.16  67872.58
 1484.79  68669.48    683.87  28869.79   1544.72  67400.74
 1795.40  75428.70    709.01  29274.36   1606.70  67870.92
 1943.71  80137.36    707.69  28885.67   1631.78  67874.71
 1860.77  80989.46    687.37  28956.91   1542.66  67875.64
 1864.38  78473.58    793.71  29221.33   1611.78  67870.19
 1768.15  74439.03    693.00  28660.15   1590.78  67866.81
 1171.22  54983.13    651.63  28604.73   1455.83  66888.86
 1295.55  60996.66    747.99  28485.71   1352.13  61499.74
*** end of the test ***
     n/a       n/a       n/a       n/a     54.59   2825.46
