    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1097.10  49094.97    937.83  43888.89
 1435.88  65918.88   1567.82  71301.54
 1251.21  65765.34   1376.44  70878.92
 1482.95  67403.84   1600.64  71566.50
 1147.24  64868.41   1181.02  69544.31
  708.29  55328.73    738.90  59002.26
  699.44  56593.67    768.11  59988.48
 1104.31  59052.53   1182.69  62591.09
 1627.64  67588.49   1685.96  71820.03
 1580.48  67515.68   1641.89  71653.00
 1545.26  67876.26   1676.65  72043.67
 1525.77  67875.67   1605.59  72050.35
 1666.55  67869.05   1707.38  72051.64
  868.21  67882.86    851.13  72052.63
 1724.72  67887.46   1731.75  72058.90
 1993.80  67881.64   1918.20  69278.58
 1879.12  66085.90   1874.69  61866.95
 1839.54  67823.43   1951.94  71996.55
 2049.39  67941.02   2044.47  69020.82
 1990.93  67896.83   2035.20  71443.48
 2034.76  67885.78   2149.84  72057.78
 1859.07  67880.53   1871.69  70502.87
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1823.77  67889.28   1886.51  69293.96
 2008.22  67889.78   1947.91  69118.64
 1926.26  67875.87   1925.51  68984.69
 1834.37  67429.43   1889.19  70620.59
 1966.19  68361.86   1935.60  69099.33
 1946.77  67856.82   2132.86  72032.54
 1821.59  67894.33   1873.25  71274.70
 1973.79  66569.82   2017.92  64960.84
  293.36  12361.27    821.04  12277.31
    0.00     11.97      0.33     12.44
    0.00      0.00      0.00      0.00
    0.00     11.98      0.00     11.96
    0.32      0.00      0.00      0.00
   45.58   2564.59      0.32      0.00
  289.21   7227.38     97.49   2304.32
   46.38      1.47   2398.04  71404.60
   77.94      0.73   1861.90  72050.50
    0.32      0.00   1954.64  72052.30
    0.00      0.00   1959.96  72047.96
    0.00      0.00   1743.62  72048.36
    0.00      0.00   1763.40  72049.08
    0.00      0.00   1761.77  72048.41
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00   1701.69  72049.22
    1.66      1.47   1098.81  43617.73
    0.00      0.00      0.32      0.00
    0.67      0.73      0.00      0.00
    0.00      0.00      0.83      0.00
    0.84      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
