    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
 1305.71  50077.84    514.27  21844.31    875.41  42976.42
 1303.86  62388.09    503.73  25893.05   1069.75  61023.19
 1412.03  65916.01    645.89  26217.53   1022.07  65362.20
 1538.06  71092.85    610.42  26992.98   1079.09  67249.69
 1668.40  64821.13    607.00  25574.26   1169.23  63713.84
 1590.26  56883.07    554.73  24526.05   1310.91  60220.11
 1441.75  82443.43    585.94  28273.41   1000.57  67873.16
 1323.04  77582.28    556.11  27880.95   1171.92  66469.54
 1364.39  87222.03    533.59  28766.85   1028.88  67869.69
 1375.67  69531.00    545.36  25855.30   1189.12  66618.31
 1304.50  69155.63    498.99  26009.02   1145.46  67400.62
 1544.53  70386.29    484.11  26047.54   1392.57  67901.84
 1994.84  85025.89    462.29  15243.20   1245.07  55149.83
*** ethernet down ***
 2161.11  84623.50    664.93  13911.06   1464.75  58378.56
    0.00      0.00    592.88  25803.91   1323.67  67875.23
    0.00      0.00    640.84  26950.33   1466.89  67763.72
    0.00      0.00    657.68  27191.58   1542.52  67972.97
    0.00      0.00    824.38  29244.95   1624.13  67870.60
    0.00      0.00    682.08  28134.57   1561.29  67871.41
    0.00      0.00    563.01  25505.94   1362.33  67858.38
*** wifi down ***
    0.00      0.00    569.63  25614.39   1348.16  67881.96
    0.00      0.00    668.38  27290.93    257.07  10765.74
    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00    625.69  25590.65      0.00      0.00
    0.00      0.00    536.35  22029.49      0.00      0.00
    0.00      0.00    556.06  22753.21      0.32      0.00
    0.00      0.00    585.11  23941.97      0.00      0.00
    0.00      0.00    656.06  26845.18      0.00      0.00
*** wifi up ***
    0.00      0.00    606.02  24750.47      0.00      0.00
    0.00      0.00    604.21  25464.96    535.94  28053.71
    0.00      0.00    602.51  26249.12   1344.68  67866.17
    0.00      0.00    627.20  26771.16   1446.24  67871.86
    0.00      0.00    684.75  28598.74   1505.10  67871.43
    0.00      0.00    668.75  28140.35   1480.12  67761.08
    0.00      0.00    572.39  26645.83   1240.72  67973.81
*** ethernet up ***
    0.00      0.00    495.48  25728.86   1102.77  67431.56
  878.13  29429.84    556.04  26090.68   1277.09  67854.79
 2300.91  86511.45    360.42  15181.20   1500.84  62221.45
 2135.87  90036.87    430.28  17459.56   1422.78  61219.54
 2191.27  92350.10    510.66  20992.11   1410.78  57597.20
 2204.78  93436.36    131.79   5357.04   1571.57  65755.21
 2151.66  91140.04    240.99   9735.10   1495.87  63373.28
 1827.50  83618.22    129.92   5221.74   1349.39  60452.33
 2071.96  90004.76     95.31   4041.67   1494.05  64115.77
 1928.03  88096.48    236.15  10293.08   1350.63  59381.78
    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
 1816.59  84529.92    149.97   7189.50   1064.08  50874.98
 1584.26  75227.96    239.18   8880.84   1075.22  54049.39
 2087.55  87872.65    505.14  21035.70   1483.21  65490.66
 2142.37  91540.37    341.80  13882.14   1544.88  65169.95
 1915.52  83824.38    462.76  19316.45   1134.36  47606.40
 2052.82  87894.78    155.64   6190.14   1331.50  57695.21
 1972.91  88775.03     91.88   4137.33   1342.00  59688.97
 2014.50  88766.73    434.34  17605.57   1294.14  57499.28
 2024.34  88946.86    140.89   5941.74   1374.05  62163.80
 1988.85  88578.37    172.07   6533.07   1354.90  58639.72
 2116.72  91652.05    248.26  10407.58   1441.43  62919.17
 1932.25  82462.26      0.00      0.00   1248.12  53860.87
 1925.12  88539.14    228.74  10041.48   1414.76  65477.05
 2104.59  91702.70    522.87  22424.64   1497.11  60774.65
 2118.21  91631.98    181.33   6991.50   1411.28  61821.21
 2074.21  89303.99    347.47  14092.63   1242.35  52916.03
*** end of the test ***
     n/a       n/a       n/a       n/a      0.90      1.47
