ethernetInput ethernetOutput wifiInput wifiOutput mobileInput mobileOutput sumInput sumOutput
1.28609375 62.8885351563 0.914697265625 45.6716699219 0.530078125 20.032109375 2.73086914062 128.592314453 
1.32858398438 88.232421875 0.945791015625 66.2332714844 0.477998046875 27.1999023438 2.75237304688 181.665595703 
1.2028515625 86.3229589844 0.893720703125 66.3345214844 0.508740234375 28.16234375 2.6053125 180.819824219 
1.33639648438 81.7973828125 0.95984375 66.2040527344 0.448203125 27.5198535156 2.74444335937 175.521289062 
1.45072265625 78.5289941406 1.1316015625 66.2877734375 0.54099609375 27.6183984375 3.1233203125 172.435166016 
1.419375 83.7098730469 0.923408203125 66.2719726562 0.5040625 27.85734375 2.84684570313 177.839189453 
1.34694335937 83.8614648437 0.94029296875 66.2795410156 0.493525390625 27.7845214844 2.78076171875 177.925527344 
1.41806640625 87.0610839844 0.9640625 66.2928027344 0.541220703125 28.3012011719 2.92334960938 181.655087891 
1.54485351563 79.5385644531 1.21091796875 66.2713867187 0.76658203125 27.6510449219 3.52235351562 173.460996094 
1.98768554688 76.3418945313 1.72775390625 66.2805078125 0.89458984375 26.8584863281 4.61002929688 169.480888672 
1.21329101563 88.0541992188 0.943212890625 66.2814648438 0.518349609375 28.2008886719 2.67485351563 182.536552734 
1.25903320312 87.0648242188 0.92935546875 66.2839648437 0.52193359375 28.3139550781 2.71032226562 181.662744141 
1.25880859375 87.8782226563 0.8926171875 66.2736230469 0.616708984375 28.111796875 2.76813476562 182.263642578 
EthernetDown EthernetDown EthernetDown EthernetDown EthernetDown EthernetDown EthernetDown EthernetDown 
1.23384765625 85.4679492187 0.985703125 66.2864648437 0.513388671875 27.3087988281 2.73293945313 179.063212891 
0.0 0.0 1.40068359375 66.2770507812 0.583271484375 25.1714941406 1.98395507812 91.4485449219 
0.0 0.0 1.5283984375 66.2689160156 0.652900390625 26.7659472656 2.18129882813 93.0348632812 
0.0 0.0 1.53620117187 66.2973828125 0.660380859375 27.3825390625 2.19658203125 93.679921875 
0.0 0.0 1.549609375 66.2735742187 0.6339453125 26.7642089844 2.1835546875 93.0377832031 
0.0 0.0 1.53950195313 66.289453125 0.677373046875 27.3585742188 2.216875 93.6480273437 
0.0 0.0 1.54341796875 66.2668847656 0.718896484375 27.43 2.26231445313 93.6968847656 
WifiDown WifiDown WifiDown WifiDown WifiDown WifiDown WifiDown WifiDown 
0.0 0.0 1.52432617188 66.2880175781 0.72591796875 27.4443261719 2.25024414062 93.73234375 
0.0 0.0 0.121796875 4.99116210937 0.562177734375 23.0043847656 0.683974609375 27.995546875 
0.0 0.0 0.0 0.0 0.56080078125 22.9358691406 0.56080078125 22.9358691406 
0.0 0.0 0.0003125 0.0 0.604521484375 24.6210742187 0.604833984375 24.6210742187 
0.0 0.0 0.0 0.0 0.539599609375 22.0915527344 0.539599609375 22.0915527344 
0.0 0.0 0.0 0.0 0.64791015625 26.638671875 0.64791015625 26.638671875 
