    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
  969.64  58198.49    524.69  22711.64    740.63  45130.10
  974.73  88919.23    461.84  28950.45    804.94  67872.70
  997.99  90669.25    487.13  28742.45    880.28  67855.89
  967.33  78770.85    467.75  28069.95    930.65  67843.30
 1039.45  81198.89    386.18  28424.93    976.07  67883.29
  949.95  81292.92    414.69  27810.64    733.61  67871.12
 1166.10  58506.13    362.49  23388.03   1116.54  63723.83
 1068.80  73013.19    408.19  26402.51    944.59  65482.19
  862.72  45779.43    373.05  19461.22    753.47  46748.16
 1455.93  64311.99    660.50  25351.49   1258.21  64120.21
 1058.37  82972.32    474.48  28228.79    827.38  67072.66
  989.31  89207.12    477.69  28329.85    689.34  67881.93
 1025.02  77170.72    443.96  26606.13    932.64  67709.95
*** ethernet down ***
 1196.23  58216.30    533.43  23227.54    973.63  63336.03
    0.00      0.00    752.48  24681.88   1312.51  65661.50
    0.00      0.00    614.88  24384.14   1259.12  67906.28
    0.00      0.00    624.55  21796.76    956.84  67870.03
    0.00      0.00    510.12  24137.27   1088.52  67876.52
    0.00      0.00    768.77  23903.58   1194.29  67873.12
    0.00      0.00    496.81  24090.32   1126.21  67850.77
*** wifi down ***
    0.00      0.00    485.10  23177.39   1061.37  67877.32
    0.00      0.00    471.93  20000.66    124.24   4117.49
    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00    763.42  24857.29      0.00      0.00
    0.00      0.00    602.98  24661.45      0.00      0.00
    0.00      0.00    667.07  27134.95      0.32      0.00
    0.00      0.00    608.59  24890.92      0.00      0.00
    0.00      0.00    541.38  22081.58      0.00      0.00
*** wifi up ***
    0.00      0.00    627.98  25779.07      0.00      0.00
    0.00      0.00    610.39  25371.02    525.48  24092.12
    0.00      0.00    562.82  25417.11   1289.45  67357.34
    0.00      0.00    704.24  24576.12   1242.84  67850.43
    0.00      0.00    541.99  24596.05   1233.44  67329.70
    0.00      0.00    533.15  25068.72   1208.39  67401.85
    0.00      0.00    620.02  27352.05   1356.03  67865.32
*** ethernet up ***
    0.00      0.70    535.82  23780.36   1265.12  67866.78
  460.33  37177.64    700.06  27284.24   1089.49  67873.30
  947.67  89576.38    639.90  28826.38    765.31  67870.78
  944.40  88348.81    591.07  28854.62    815.32  67873.51
  833.43  63085.57    380.41  25936.10    807.73  67870.45
 1012.63  83224.19    453.80  28293.01    847.56  67865.83
  948.82  88909.56    426.47  28699.00    726.59  67864.91
 1035.49  87818.75    503.91  28755.87    894.84  67870.69
 1003.69  87361.36    494.44  28494.33    884.50  67864.42
 1169.54  61207.00    445.47  23246.60    945.65  67871.77
    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
 1002.36  71512.10    342.18  27477.17    910.86  67882.06
 1031.10  81325.84    583.79  27715.05    886.34  67868.81
 1005.51  85123.60    579.55  27929.15    810.45  67858.03
 1423.87  71998.61    705.25  28927.45   1379.55  67889.97
 1438.27  64804.51    661.87  28333.63   1549.71  67874.03
 1607.59  70214.12    678.49  28625.54   1562.16  67873.74
 1406.28  80131.58    516.59  27342.54   1073.27  67786.99
  943.46  75350.99    401.77  26924.36    741.19  67954.70
  785.16  84779.35    468.23  28212.53    568.72  67871.93
  931.87  88980.35    456.72  28577.20    790.14  67856.23
  728.10  87292.39    582.11  28471.33    603.55  67881.25
  968.24  88234.05    449.79  28241.51    818.02  67848.89
  996.52  88685.78    497.82  28529.37    812.46  67899.61
  974.06  91241.22    461.08  28862.14    726.32  67871.52
  794.08  90580.24    455.62  29023.49    650.81  67865.75
  968.88  85829.36    543.99  28011.21    876.94  67870.78
*** end of the test ***
     n/a       n/a       n/a       n/a    296.32  16488.13
