ethernetInput ethernetOutput mobileInput mobileOutput wifiInput wifiOutput sumInput sumOutput
0.9469140625 56.8344628906 0.512392578125 22.1793359375 0.723271484375 44.0723632812 2.182578125 123.086162109 
0.951884765625 86.8351855469 0.451015625 28.2719238281 0.78607421875 66.2819335937 2.18897460938 181.389042969 
0.974599609375 88.5441894531 0.475712890625 28.0687988281 0.8596484375 66.2655175781 2.3099609375 182.878505859 
0.944658203125 76.9246582031 0.456787109375 27.4120605469 0.908837890625 66.2532226563 2.31028320313 170.589941406 
1.01508789063 79.2957910156 0.37712890625 27.7587207031 0.953193359375 66.2922753906 2.34541015625 173.346787109 
0.927685546875 79.3876171875 0.404970703125 27.158828125 0.716416015625 66.280390625 2.04907226562 172.826835937 
1.13876953125 57.1348925781 0.353994140625 22.8398730469 1.09037109375 62.2303027344 2.58313476563 142.205068359 
1.04375 71.3019433594 0.398623046875 25.7837011719 0.922451171875 63.9474511719 2.36482421875 161.033095703 
0.8425 44.7064746094 0.364306640625 19.0050976563 0.735810546875 45.6525 1.9426171875 109.364072266 
1.42180664063 62.8046777344 0.64501953125 24.7573144531 1.22872070313 62.6173925781 3.295546875 150.179384766 
1.03356445312 81.02765625 0.463359375 27.5671777344 0.80798828125 65.5006445313 2.30491210938 174.095478516 
0.966123046875 87.116328125 0.466494140625 27.6658691406 0.67318359375 66.2909472656 2.10580078125 181.073144531 
1.00099609375 75.36203125 0.4335546875 25.9825488281 0.91078125 66.1229980469 2.34533203125 167.467578125 
EthernetDown EthernetDown EthernetDown EthernetDown EthernetDown EthernetDown EthernetDown EthernetDown 
1.16819335938 56.8518554688 0.520927734375 22.6831445313 0.950810546875 61.8515917969 2.63993164062 141.386591797 
0.0 0.0 0.73484375 24.1033984375 1.28174804687 64.1225585938 2.01659179687 88.2259570313 
0.0 0.0 0.60046875 23.8126367187 1.229609375 66.3147265625 1.830078125 90.1273632812 
0.0 0.0 0.609912109375 21.2858984375 0.9344140625 66.2793261719 1.54432617187 87.5652246094 
0.0 0.0 0.4981640625 23.5715527344 1.0630078125 66.2856640625 1.561171875 89.8572167969 
0.0 0.0 0.750751953125 23.3433398438 1.16629882812 66.28234375 1.91705078125 89.6256835937 
0.0 0.0 0.485166015625 23.525703125 1.09981445313 66.2605175781 1.58498046875 89.7862207031 
WifiDown WifiDown WifiDown WifiDown WifiDown WifiDown WifiDown WifiDown 
0.0 0.0 0.47373046875 22.6341699219 1.03649414062 66.2864453125 1.51022460937 88.9206152344 
0.0 0.0 0.460869140625 19.5318945312 0.121328125 4.02098632812 0.582197265625 23.5528808594 
0.0 0.0 0.74552734375 24.2746972656 0.0 0.0 0.74552734375 24.2746972656 
0.0 0.0 0.58884765625 24.0834472656 0.0 0.0 0.58884765625 24.0834472656 
0.0 0.0 0.651435546875 26.4989746094 0.0003125 0.0 0.651748046875 26.4989746094 
0.0 0.0 0.594326171875 24.3075390625 0.0 0.0 0.594326171875 24.3075390625 
0.0 0.0 0.52869140625 21.5640429688 0.0 0.0 0.52869140625 21.5640429688 
WifiUp WifiUp WifiUp WifiUp WifiUp WifiUp WifiUp WifiUp 
0.0 0.0 0.61326171875 25.1748730469 0.0 0.0 0.61326171875 25.1748730469 
0.0 0.0 0.596083984375 24.7763867188 0.5131640625 23.5274609375 1.10924804687 48.3038476562 
0.0 0.0 0.54962890625 24.8213964844 1.25922851563 65.7786523437 1.80885742187 90.6000488281 
0.0 0.0 0.687734375 24.0001171875 1.2137109375 66.2601855469 1.9014453125 90.2603027344 
0.0 0.0 0.529287109375 24.0195800781 1.20453125 65.7516601562 1.73381835938 89.7712402344 
0.0 0.0 0.520654296875 24.481171875 1.18006835938 65.8221191406 1.70072265625 90.3032910156 
0.0 0.0 0.60548828125 26.7109863281 1.32424804687 66.2747265625 1.92973632812 92.9857128906 
EthernetUp EthernetUp EthernetUp EthernetUp EthernetUp EthernetUp EthernetUp EthernetUp 
0.0 0.00068359375 0.52326171875 23.2230078125 1.23546875 66.2761523437 1.75873046875 89.49984375 
0.449541015625 36.3062890625 0.68365234375 26.644765625 1.06395507813 66.2825195313 2.1971484375 129.233574219 
0.925458984375 87.4769335938 0.62490234375 28.1507617188 0.747373046875 66.2800585937 2.297734375 181.907753906 
0.922265625 86.2781347656 0.577216796875 28.1783398437 0.7962109375 66.2827246094 2.29569335937 180.739199219 
0.813896484375 61.6070019531 0.371494140625 25.3282226562 0.788798828125 66.2797363281 1.97418945312 153.214960937 
0.988896484375 81.2736230469 0.4431640625 27.6298925781 0.8276953125 66.2752246094 2.25975585937 175.178740234 
0.92658203125 86.8257421875 0.416474609375 28.0263671875 0.709560546875 66.2743261719 2.0526171875 181.126435547 
1.01122070313 85.7604980469 0.492099609375 28.0819042969 0.8738671875 66.2799707031 2.3771875 180.122373047 
0.980166015625 85.313828125 0.4828515625 27.8264941406 0.86376953125 66.2738476562 2.32678710938 179.414169922 
1.14212890625 59.7724609375 0.435029296875 22.7017578125 0.923486328125 66.2810253906 2.50064453125 148.755244141 
0.9788671875 69.8360351563 0.33416015625 26.8331738281 0.88951171875 66.2910742187 2.2025390625 162.960283203 
1.00693359375 79.419765625 0.570107421875 27.0654785156 0.86556640625 66.2781347656 2.44260742188 172.763378906 
0.981943359375 83.128515625 0.565966796875 27.2745605469 0.791455078125 66.2676074219 2.33936523438 176.670683594 
1.39049804687 70.3111425781 0.688720703125 28.2494628906 1.34721679687 66.2987988281 3.42643554688 164.859404297 
