    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1137.70  59250.04   1006.85  57846.28
 1057.09  67616.36   1137.41  72069.06
 1210.19  67861.99   1312.72  72055.44
 1200.89  67859.97   1255.98  72012.22
 1004.17  67890.65   1120.04  72079.95
 1271.12  67879.91   1312.67  72045.32
 1269.98  67793.58   1338.87  71867.16
 1215.75  67940.97   1267.07  72238.15
 1398.20  67857.31   1487.97  72022.84
 1133.60  67820.49   1120.23  72037.55
 1134.38  67929.30   1160.10  72070.16
 1232.33  67879.90   1310.54  72021.40
 1265.59  67839.38   1245.02  72028.48
 2014.64  67865.78   2069.46  72083.38
 1785.28  67907.80   1914.00  72072.75
 1822.93  67867.52   1915.48  72056.88
 1904.02  67877.66   1994.75  72042.96
 1759.29  67846.29   1904.60  72023.84
 2039.92  67824.04   2001.58  72013.61
 2164.30  67925.89   2248.60  72095.58
 1814.32  67888.47   1994.54  72070.09
 1805.32  67865.42   1942.01  72018.74
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1923.75  67866.39   1984.22  71933.11
 1900.82  67842.86   1993.23  72164.60
 1955.84  67898.75   2013.95  72077.32
 2106.65  67875.05   2211.97  72032.57
 1798.28  67853.13   1973.02  72046.77
 1849.88  67890.10   1977.34  72068.87
 1933.48  67869.33   1990.58  72049.77
 1783.89  67878.80   1860.31  72023.15
 1926.76  67869.29   2027.49  72074.43
 1929.79  67868.34   1970.32  72045.77
 1999.67  67865.93   2099.18  72045.38
 1882.22  67867.24   1947.86  72055.80
 1969.40  67881.72   2030.65  72038.23
 1854.99  67866.03   2022.72  72058.99
 1838.06  67868.27   1947.99  72045.70
 1787.28  67871.01   1995.18  72049.34
 1939.31  67860.60   2036.66  72037.51
 1897.57  67881.39   2035.39  72046.92
 1762.82  67867.66   1903.84  72068.99
 1817.24  67869.40   1963.91  72025.89
 1903.79  67876.14   2072.02  72064.55
 1831.46  67875.67   1854.10  72045.26
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1931.52  67861.45   2048.29  72051.17
  695.93  27087.30    719.56  27390.40
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.33      0.48      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
